Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1445.9102,1461.8631,1434.3429,1450.261,1450.261,1000000
2020-01-02,1448.1598,1464.1375,1436.5745,1452.5173,1452.5173,1192118
2020-01-03,1452.3786,1468.4028,1440.7596,1456.7488,1456.7488,1383099
2020-01-06,1458.5283,1474.6203,1446.86,1462.917,1462.917,1571816
2020-01-07,1466.5523,1482.7329,1454.8199,1470.9652,1470.9652,1757150
2020-01-08,1476.3762,1492.6652,1464.5652,1480.8187,1480.8187,1938006
2020-01-09,1487.9081,1504.3243,1476.0048,1492.3852,1492.3852,2113315
2020-01-10,1501.0387,1517.5998,1489.0304,1505.5553,1505.5553,2282039
2020-01-13,1515.6426,1532.3648,1503.5174,1520.2032,1520.2032,2443181
2020-01-14,1531.5789,1548.477,1519.3263,1536.1875,1536.1875,2595788
2020-01-15,1548.6927,1565.7796,1536.3032,1553.3528,1553.3528,2738956
2020-01-16,1566.8168,1584.1037,1554.2823,1571.5314,1571.5314,2871841
2020-01-17,1585.7737,1603.2697,1573.0875,1590.5454,1590.5454,2993654
2020-01-20,1605.3785,1623.0908,1592.5354,1610.2091,1610.2091,3103677
2020-01-21,1625.4415,1643.3751,1612.4379,1630.3325,1630.3325,3201258
2020-01-22,1645.772,1663.93,1632.6058,1650.7242,1650.7242,3285820
2020-01-23,1666.1821,1684.5652,1652.8526,1671.1957,1671.1957,3356864
2020-01-24,1686.4903,1705.0975,1672.9984,1691.565,1691.565,3413968
2020-01-27,1706.5261,1725.3544,1692.8739,1711.6611,1711.6611,3456795
2020-01-28,1726.134,1745.1786,1712.325,1731.328,1731.328,3485093
2020-01-29,1745.1774,1764.4321,1731.216,1750.4287,1750.4287,3498693
2020-01-30,1763.5421,1782.9994,1749.4338,1768.8487,1768.8487,3497515
2020-01-31,1781.14,1800.7915,1766.8909,1786.4995,1786.4995,3481566
2020-02-03,1797.911,1817.7476,1783.5278,1803.321,1803.321,3450941
2020-02-04,1813.8254,1833.8375,1799.3148,1819.2833,1819.2833,3405820
2020-02-05,1828.8842,1849.0625,1814.2532,1834.3874,1834.3874,3346470
2020-02-06,1843.1199,1863.4552,1828.3749,1848.6659,1848.6659,3273243
2020-02-07,1856.595,1877.079,1841.7423,1862.1816,1862.1816,3186571
2020-02-10,1869.401,1890.0263,1854.4458,1875.0261,1875.0261,3086968
2020-02-11,1881.6556,1902.4161,1866.6024,1887.3176,1887.3176,2975022
2020-02-12,1893.4996,1914.3908,1878.3516,1899.1972,1899.1972,2851395
2020-02-13,1905.0935,1926.1126,1889.8527,1910.826,1910.826,2716818
2020-02-14,1916.6131,1937.7592,1901.2802,1922.3802,1922.3802,2572087
